P07,1.0,1.0,1,0.14288596938774317
P07,1.0,1.0,2,0.15369318100184745
P07,1.0,1.0,3,0.17256401211194153
P07,1.0,1.0,4,0.1365533113378678
P07,1.0,1.0,5,0.1361867006708233
P07,1.0,1.0,6,0.12002352027684964
P07,1.0,1.0,7,0.17223925904993795
P07,1.0,1.0,8,0.12100221749334845
P07,1.0,1.0,9,0.1710689411289387
P07,1.0,1.0,10,0.1594308357990464
P07,1.0,1.5,1,0.19232734388314998
P07,1.0,1.5,2,0.1480284970300014
P07,1.0,1.5,3,0.13929585165626263
P07,1.0,1.5,4,0.12352678352906764
P07,1.0,1.5,5,0.17528754333630125
P07,1.0,1.5,6,0.15221579080099115
P07,1.0,1.5,7,0.06505427018473717
P07,1.0,1.5,8,0.12827770230672758
P07,1.0,1.5,9,0.10317635263329088
P07,1.0,1.5,10,0.17077137632173722
P07,1.0,0.2,1,0.19596489540051434
P07,1.0,0.2,2,0.18900642069154533
P07,1.0,0.2,3,0.15750717126098987
P07,1.0,0.2,4,0.17622344645504176
P07,1.0,0.2,5,0.1941559714110443
P07,1.0,0.2,6,0.19924538038017184
P07,1.0,0.2,7,0.18513570548959785
P07,1.0,0.2,8,0.2080388407942627
P07,1.0,0.2,9,0.1875090073731803
P07,1.0,0.2,10,0.18798007141163525
P07,1.5,1.0,1,0.14925806671610126
P07,1.5,1.0,2,0.10187459540999273
P07,1.5,1.0,3,0.13457158815366357
P07,1.5,1.0,4,0.13254723064679955
P07,1.5,1.0,5,0.1399554680757757
P07,1.5,1.0,6,0.13139681200149483
P07,1.5,1.0,7,0.0960501657284337
P07,1.5,1.0,8,0.1318061450594088
P07,1.5,1.0,9,0.1422486391550704
P07,1.5,1.0,10,0.11880861610434075
P07,1.5,1.5,1,0.06813705844709618
P07,1.5,1.5,2,0.11323903355893628
P07,1.5,1.5,3,0.04382720533473426
P07,1.5,1.5,4,0.08496208392598494
P07,1.5,1.5,5,0.0983818430606581
P07,1.5,1.5,6,0.07781308962661442
P07,1.5,1.5,7,0.09587421219648146
P07,1.5,1.5,8,0.14294789985891523
P07,1.5,1.5,9,0.13334608562319966
P07,1.5,1.5,10,0.10885770895232552
P07,1.5,0.2,1,0.186667287092659
P07,1.5,0.2,2,0.17125095406009522
P07,1.5,0.2,3,0.1963948594012409
P07,1.5,0.2,4,0.2028220509124789
P07,1.5,0.2,5,0.1984444207823439
P07,1.5,0.2,6,0.20211589971689853
P07,1.5,0.2,7,0.18274834336623058
P07,1.5,0.2,8,0.18247769180875742
P07,1.5,0.2,9,0.16347741202928706
P07,1.5,0.2,10,0.20863763999253943
P07,0.2,1.0,1,0.17509913090660656
P07,0.2,1.0,2,0.20382649580587492
P07,0.2,1.0,3,0.1624451641383115
P07,0.2,1.0,4,0.15083210693279525
P07,0.2,1.0,5,0.1964992699488584
P07,0.2,1.0,6,0.130836605097091
P07,0.2,1.0,7,0.12180320582346962
P07,0.2,1.0,8,0.16567415370319497
P07,0.2,1.0,9,0.10626933063391038
P07,0.2,1.0,10,0.11950087587633708
P07,0.2,1.5,1,0.17132519880323754
P07,0.2,1.5,2,0.15060924335756914
P07,0.2,1.5,3,0.13487644164826293
P07,0.2,1.5,4,0.13395936137206957
P07,0.2,1.5,5,0.15580032243389236
P07,0.2,1.5,6,0.07756941552865851
P07,0.2,1.5,7,0.10035426476152097
P07,0.2,1.5,8,0.09917295277796066
P07,0.2,1.5,9,0.10452321150648342
P07,0.2,1.5,10,0.10262814940149263
P07,0.2,0.2,1,0.18156325943330184
P07,0.2,0.2,2,0.19104836886141524
P07,0.2,0.2,3,0.23581164520253856
P07,0.2,0.2,4,0.20420303480314578
P07,0.2,0.2,5,0.1803070893193399
P07,0.2,0.2,6,0.1938995452817069
P07,0.2,0.2,7,0.1427833055878491
P07,0.2,0.2,8,0.19075412863722202
P07,0.2,0.2,9,0.16082903466331946
P07,0.2,0.2,10,0.16275976026222613
